"stateFlagCode","state","TotalArea","densityMi","population"
,"Alaska",665384,1.30337,743756
,"Texas",268596,121.93682,31853800
,"California",163696,254.61583,39663800
,"Montana",147040,7.85429,1143160
,"New Mexico",121590,17.63714,2139350
,"Arizona",113990,67.71256,7691740
,"Nevada",110572,30.24722,3320570
,"Colorado",104094,58.02329,6013650
,"Oregon",98379,44.70444,4291090
,"Wyoming",97813,6.07839,590169
,"Michigan",96714,180.364,10197600
,"Minnesota",86936,73.25719,5833250
,"Utah",84897,43.37349,3564000
,"Idaho",83569,24.58914,2032120
,"Kansas",82278,36.56735,2989710
,"Nebraska",77348,26.33383,2023070
,"South Dakota",77116,12.28098,931033
,"Washington",71298,121.26881,8059040
,"North Dakota",70698,11.65329,804089
,"Oklahoma",69899,60.16328,4126900
,"Missouri",69707,91.39813,6282890
,"Florida",65758,444.56131,23839600
,"Wisconsin",65496,110.63075,5991540
,"Georgia",59425,196.43037,11297300
,"Illinois",57914,230.15724,12778100
,"Iowa",56273,58.44496,3264560
,"New York",54555,424.33264,19997100
,"North Carolina",53819,230.59155,11210900
,"Arkansas",53179,59.71442,3107240
,"Alabama",52420,102.63047,5197720
,"Louisiana",52378,106.64313,4607410
,"Mississippi",48432,62.71807,2942920
,"Pennsylvania",46054,293.67275,13139800
,"Ohio",44826,292.27381,11942600
,"Virginia",42775,225.06204,8887700
,"Tennessee",42144,177.20868,7307200
,"Kentucky",40408,117.15925,4626150
,"Indiana",36420,194.50734,6968420
,"Maine",35380,45.72772,1410380
,"South Carolina",32020,185.28426,5569830
,"West Virginia",24230,73.61095,1769460
,"Maryland",12406,649.98249,6309380
,"Hawaii",10932,225.89133,1450900
,"Massachusetts",10554,923.81667,7205770
,"Vermont",9616,70.33503,648278
,"New Hampshire",9349,158.14364,1415860
,"New Jersey",8723,1308.41175,9622060
,"Connecticut",5543,765.61751,3707120
,"Delaware",2489,547.6706,1067410
,"Rhode Island",1545,1084.32302,1121190
,"District of Columbia",,11756.98361,717176
,"United States",3796677,,
